  ,Pan,Stool,Silhouette,TeaTowel,Skillet,Sink,Blender,Fridge,Fan,Apple,WineBottle,WaterBottle,Scissor,Rope,Knife
Pan,Null,Could you use a pan on the sink to put out the fire ?,Null,Null,Null,Could you use a stool on the sink to reach something ?,Null,Null,Null,Null,Null,Null,Null,Null,Null
Stool,Could you use a pan on the sink to put out the fire ?,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Could you use the stool and put it over the rope ?,Null
Silhouette,Null,Null,Null,Null,Null,Could you use the sink to put out the fire ?,Null,Null,Null,Null,Null,Null,Null,Null,Null
TeaTowel,Null,Null,Null,Null,Could you use a tea towel on the sink to put out the fire ?,Could you use a tea towel and a skillet to put wash it ?,Null,Null,Null,Null,Null,Null,Null,Null,Null
Skillet,Null,Null,Null,Could you use a tea towel on the sink to put out the fire ?,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Sink,Could you use a stool on the sink to reach something ?,Null,Could you use the sink to put out the fire ?,Could you use the sink with a tea towel to put out the fire ?,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Blender,Null,Null,Null,Null,Null,Could you put the blender in the sink to wash it ?,Null,Could you put the blender in the fridge to cool it ?,Null,Null,Null,Null,Null,Null,Null
Fridge,Null,Null,Null,Null,Null,Null,Could you use the fridge and the blender to make a smoothie ?,Null,Could you use the fridge and the fan to cool it ?,Null,Null,Null,Null,Null,Null
Fan,Null,Null,Null,Null,Null,Null,Null,Could you use the fan on the blender to cool it down?,Null,Null,Null,Null,Null,Null,Null
Apple,Null,Null,Null,Null,Null,Null,Could you put an apple in the blender to make some apple juice ?,Null,Null,Null,Null,Null,Null,Null,Could you use an apple with a knife to cut it ?
WineBottle,Null,Null,Null,Null,Could you put some wine in a skillet ?,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
WaterBottle,Null,Null,Could you open a water bottle and pour it over yourself ?,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Scissor,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Could you use the scissors on the rope to cut it ?,Null
Rope,Null,Could you use the stool and put it over the rope ?,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Could you use the rope and the scissors to cut it ?,Null,Could you use the rope and a knife to cut it ?
Knife,Null,Null,Null,Null,Null,Null,Null,Null,Null,Could you use an apple with a knife to cut it ?,Null,Null,Null,Could you use the rope and a knife to cut it ?,Null